Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2019-11-28 09:00:00,52.29,52.29,51.86,52.08,311602.0,0.0,0,0.0,0
2019-11-28 10:00:00,52.08,52.26,52.02,52.14,104429.0,-0.14999999999999858,0,-207173.0,0
2019-11-28 11:00:00,52.16,52.17,51.99,52.01,65385.0,-0.07000000000000028,0,-39044.0,0
2019-11-28 12:00:00,52.01,52.02,51.88,51.9,83065.0,-0.259999999999998,0,17680.0,1
2019-11-28 13:00:00,51.93,51.98,51.87,51.87,78761.0,-0.14000000000000057,0,-4304.0,0
2019-11-28 14:00:00,51.87,51.9,51.82,51.82,94506.0,-0.10999999999999943,0,15745.0,1
2019-11-28 15:00:00,51.81,51.9,51.78,51.78,128158.0,-0.0899999999999963,0,33652.0,1
2019-11-28 16:00:00,51.79,51.92,51.79,51.9,104109.0,0.0899999999999963,1,-24049.0,0
2019-11-28 17:00:00,51.9,51.98,51.88,51.96,557996.0,0.1700000000000017,1,453887.0,1
