Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-10-22 07:01:00,49.25,49.49,49.06,49.06,23006.0
2019-10-22 07:02:00,49.06,49.14,49.055,49.055,1969.0
2019-10-22 07:03:00,49.125,49.33,49.09,49.315,1935.0
2019-10-22 07:04:00,49.3,49.3,49.245,49.245,1825.0
2019-10-22 07:05:00,49.265,49.265,49.205,49.205,320.0
2019-10-22 07:06:00,49.3,49.495,49.26,49.495,2057.0
2019-10-22 07:07:00,49.485,49.68,49.475,49.64,33599.0
2019-10-22 07:08:00,49.685,49.705,49.645,49.69,4424.0
2019-10-22 07:09:00,49.71,49.715,49.65,49.65,2645.0
2019-10-22 07:10:00,49.64,49.64,49.605,49.605,4658.0
2019-10-22 07:11:00,49.605,49.605,49.45,49.45,4602.0
2019-10-22 07:12:00,49.44,49.44,49.395,49.395,59.0
2019-10-22 07:13:00,49.445,49.595,49.445,49.595,1925.0
2019-10-22 07:14:00,49.54,49.54,49.46,49.505,2124.0
2019-10-22 07:15:00,49.505,49.505,49.43,49.455,809.0
2019-10-22 07:16:00,49.405,49.525,49.405,49.505,2426.0
2019-10-22 07:17:00,49.505,49.505,49.39,49.39,1527.0
2019-10-22 07:18:00,49.405,49.405,49.28,49.29,1287.0
2019-10-22 07:19:00,49.245,49.275,49.195,49.225,1260.0
2019-10-22 07:20:00,49.22,49.345,49.22,49.345,1979.0
2019-10-22 07:21:00,49.345,49.345,49.32,49.34,498.0
2019-10-22 07:22:00,49.365,49.37,49.29,49.29,1317.0
2019-10-22 07:23:00,49.325,49.345,49.3,49.31,1237.0
2019-10-22 07:24:00,49.35,49.35,49.22,49.255,3045.0
2019-10-22 07:25:00,49.26,49.27,49.235,49.27,561.0
2019-10-22 07:26:00,49.28,49.3,49.265,49.265,920.0
2019-10-22 07:27:00,49.265,49.3,49.26,49.3,899.0
2019-10-22 07:28:00,49.295,49.295,49.285,49.285,359.0
2019-10-22 07:29:00,49.29,49.29,49.265,49.285,575.0
2019-10-22 07:30:00,49.28,49.3,49.235,49.245,2389.0
2019-10-22 07:31:00,49.255,49.27,49.235,49.27,3061.0
2019-10-22 07:32:00,49.27,49.27,49.23,49.24,465.0
2019-10-22 07:33:00,49.245,49.245,49.22,49.235,966.0
2019-10-22 07:34:00,49.235,49.26,49.21,49.245,1337.0
2019-10-22 07:35:00,49.22,49.225,49.18,49.19,1143.0
2019-10-22 07:36:00,49.175,49.175,49.11,49.13,2003.0
2019-10-22 07:37:00,49.13,49.175,48.99,49.095,10479.0
2019-10-22 07:38:00,49.08,49.085,49.03,49.03,1928.0
2019-10-22 07:39:00,49.015,49.05,48.985,48.985,1557.0
2019-10-22 07:40:00,48.995,49.055,48.965,48.965,2132.0
2019-10-22 07:41:00,48.985,48.995,48.965,48.985,1433.0
2019-10-22 07:42:00,49.015,49.015,48.96,48.995,1439.0
2019-10-22 07:43:00,48.995,49.04,48.995,49.02,960.0
2019-10-22 07:44:00,48.99,49.005,48.99,49.0,418.0
