Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2020-07-15 09:01:00,58.33,58.36,58.28,58.29,10888.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:02:00,58.29,58.33,58.22,58.33,3340.0,0.0,0,-7548.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:03:00,58.34,58.47,58.3,58.39,4722.0,0.10000000000000142,1,1382.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:04:00,58.35,58.42,58.23,58.33,11183.0,-0.010000000000005116,0,6461.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:05:00,58.38,58.4,58.31,58.36,4399.0,0.009999999999998009,1,-6784.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:06:00,58.4,58.5,58.34,58.34,3839.0,-0.03999999999999915,0,-560.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:07:00,58.34,58.41,58.3,58.41,1374.0,0.009999999999998009,1,-2465.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:08:00,58.46,58.46,58.28,58.42,2069.0,0.0799999999999983,1,695.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:09:00,58.5,58.59,58.5,58.51,1990.0,0.049999999999997165,1,-79.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:10:00,58.47,58.47,58.24,58.31,8014.0,-0.18999999999999773,0,6024.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:11:00,58.33,58.35,58.25,58.25,1975.0,-0.21999999999999886,0,-6039.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:12:00,58.28,58.35,58.28,58.35,1354.0,0.02000000000000313,1,-621.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:13:00,58.34,58.39,58.33,58.35,1060.0,0.07000000000000027,1,-294.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:14:00,58.28,58.32,58.26,58.28,2060.0,-0.060000000000002274,0,1000.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:15:00,58.27,58.29,58.26,58.29,1824.0,0.009999999999998009,1,-236.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:16:00,58.27,58.38,58.27,58.38,487.0,0.10999999999999943,1,-1337.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:17:00,58.39,58.4,58.36,58.38,2671.0,0.10999999999999943,1,2184.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:18:00,58.42,58.46,58.34,58.38,2464.0,-0.009999999999998009,0,-207.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:19:00,58.41,58.42,58.33,58.34,1285.0,-0.0799999999999983,0,-1179.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:20:00,58.34,58.37,58.34,58.36,842.0,-0.049999999999997165,0,-443.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:21:00,58.35,58.35,58.3,58.33,1417.0,-0.010000000000005116,0,575.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:22:00,58.32,58.37,58.32,58.34,704.0,-0.009999999999998009,0,-713.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:23:00,58.3,58.33,58.28,58.28,2112.0,-0.03999999999999915,0,1408.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:24:00,58.24,58.27,58.22,58.27,1220.0,-0.02999999999999403,0,-892.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:25:00,58.28,58.31,58.28,58.31,1264.0,0.07000000000000027,1,44.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:26:00,58.33,58.35,58.31,58.31,1038.0,0.030000000000001137,1,-226.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:27:00,58.3,58.3,58.28,58.28,1633.0,-0.049999999999997165,0,595.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:28:00,58.29,58.31,58.25,58.25,774.0,-0.049999999999997165,0,-859.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:29:00,58.23,58.25,58.23,58.25,262.0,-0.03999999999999915,0,-512.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:30:00,58.25,58.33,58.25,58.28,916.0,0.05000000000000426,1,654.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:31:00,58.3,58.3,58.26,58.26,1012.0,0.009999999999998009,1,96.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:32:00,58.27,58.29,58.27,58.28,657.0,-0.019999999999996017,0,-355.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:33:00,58.27,58.3,58.26,58.3,1307.0,0.02999999999999403,1,650.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:34:00,58.31,58.34,58.29,58.34,1378.0,0.07000000000000027,1,71.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:35:00,58.26,58.36,58.25,58.34,2057.0,0.030000000000001137,1,679.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:36:00,58.32,58.35,58.32,58.35,832.0,0.09000000000000341,1,-1225.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:37:00,58.3,58.3,58.23,58.28,2407.0,-0.03999999999999915,0,1575.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:38:00,58.28,58.28,58.23,58.26,984.0,-0.03999999999999915,0,-1423.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:39:00,58.27,58.29,58.22,58.22,1610.0,-0.060000000000002274,0,626.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:40:00,58.19,58.21,58.14,58.14,4768.0,-0.13000000000000256,0,3158.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:41:00,58.15,58.17,58.14,58.15,602.0,-0.03999999999999915,0,-4166.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:42:00,58.2,58.2,58.16,58.17,455.0,0.02000000000000313,1,-147.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:43:00,58.2,58.24,58.2,58.24,116.0,0.03999999999999915,1,-339.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:44:00,58.23,58.25,58.23,58.24,606.0,0.03999999999999915,1,490.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:45:00,58.26,58.3,58.26,58.3,249.0,0.07000000000000027,1,-357.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:46:00,58.26,58.26,58.22,58.22,2965.0,-0.03999999999999915,0,2716.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:47:00,58.2,58.21,58.14,58.14,1591.0,-0.11999999999999746,0,-1374.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:48:00,58.14,58.2,58.14,58.17,329.0,-0.030000000000001137,0,-1262.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:49:00,58.18,58.21,58.18,58.21,365.0,0.07000000000000027,1,36.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:50:00,58.2,58.27,58.2,58.22,1024.0,0.03999999999999915,1,659.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:51:00,58.21,58.23,58.17,58.17,4100.0,-0.030000000000001137,0,3076.0,1,,,,,,,,,,,,,,,,,,,
2020-07-15 09:52:00,58.17,58.19,58.15,58.17,920.0,-0.03999999999999915,0,-3180.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:53:00,58.15,58.23,58.15,58.23,165.0,0.059999999999995175,1,-755.0,0,,,,,,,,,,,,,,,,,,,
2020-07-15 09:54:00,58.25,58.25,58.18,58.18,817.0,0.030000000000001137,1,652.0,1,,,,,,,,,,,,,,,,,,,
