Date,OPEN,HIGH,LOW,CLOSE,VOLUME,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content
2020-04-24 09:01:00,49.395,49.395,49.065,49.11,17186.0,,,,,,,,,,,,,,,
2020-04-24 09:02:00,49.105,49.23,49.105,49.14,4695.0,,,,,,,,,,,,,,,
2020-04-24 09:03:00,49.14,49.14,49.0,49.045,2728.0,,,,,,,,,,,,,,,
2020-04-24 09:04:00,49.1,49.1,48.995,48.995,9012.0,,,,,,,,,,,,,,,
2020-04-24 09:05:00,49.11,49.2,49.11,49.195,2087.0,,,,,,,,,,,,,,,
2020-04-24 09:06:00,49.165,49.38,49.165,49.295,4265.0,,,,,,,,,,,,,,,
2020-04-24 09:07:00,49.255,49.33,49.19,49.295,2160.0,,,,,,,,,,,,,,,
2020-04-24 09:08:00,49.275,49.3,49.1,49.1,4701.0,,,,,,,,,,,,,,,
2020-04-24 09:09:00,49.08,49.085,49.025,49.025,1018.0,,,,,,,,,,,,,,,
2020-04-24 09:10:00,49.09,49.09,48.995,49.03,1693.0,,,,,,,,,,,,,,,
2020-04-24 09:11:00,49.04,49.075,48.98,49.075,4361.0,,,,,,,,,,,,,,,
2020-04-24 09:12:00,49.055,49.06,48.96,49.005,2025.0,,,,,,,,,,,,,,,
2020-04-24 09:13:00,49.005,49.005,48.91,48.91,2218.0,,,,,,,,,,,,,,,
2020-04-24 09:14:00,48.96,49.105,48.95,49.105,2253.0,,,,,,,,,,,,,,,
2020-04-24 09:15:00,49.1,49.115,49.055,49.06,1447.0,,,,,,,,,,,,,,,
2020-04-24 09:16:00,48.965,48.995,48.965,48.995,681.0,,,,,,,,,,,,,,,
2020-04-24 09:17:00,49.05,49.11,49.015,49.105,1649.0,,,,,,,,,,,,,,,
2020-04-24 09:18:00,49.12,49.12,49.12,49.12,102.0,,,,,,,,,,,,,,,
2020-04-24 09:19:00,49.145,49.16,49.1,49.1,2077.0,,,,,,,,,,,,,,,
2020-04-24 09:20:00,49.12,49.19,49.12,49.125,991.0,,,,,,,,,,,,,,,
2020-04-24 09:21:00,49.105,49.11,49.105,49.11,200.0,,,,,,,,,,,,,,,
2020-04-24 09:22:00,49.13,49.14,49.04,49.04,240.0,,,,,,,,,,,,,,,
2020-04-24 09:23:00,49.05,49.05,49.05,49.05,102.0,,,,,,,,,,,,,,,
2020-04-24 09:24:00,49.015,49.035,48.97,48.97,1619.0,,,,,,,,,,,,,,,
2020-04-24 09:25:00,49.01,49.045,48.99,49.01,2894.0,,,,,,,,,,,,,,,
2020-04-24 09:26:00,49.005,49.01,48.965,48.98,763.0,,,,,,,,,,,,,,,
2020-04-24 09:27:00,48.995,49.01,48.94,48.94,1023.0,,,,,,,,,,,,,,,
2020-04-24 09:28:00,48.9,48.915,48.865,48.895,1106.0,,,,,,,,,,,,,,,
2020-04-24 09:29:00,48.89,48.89,48.79,48.84,1814.0,,,,,,,,,,,,,,,
2020-04-24 09:30:00,48.86,49.015,48.86,48.995,3943.0,,,,,,,,,,,,,,,
2020-04-24 09:31:00,48.995,49.005,48.96,48.96,2387.0,,,,,,,,,,,,,,,
2020-04-24 09:32:00,48.96,48.96,48.85,48.865,10103.0,,,,,,,,,,,,,,,
2020-04-24 09:33:00,48.825,48.855,48.82,48.84,1452.0,,,,,,,,,,,,,,,
2020-04-24 09:34:00,48.85,48.865,48.85,48.865,422.0,,,,,,,,,,,,,,,
2020-04-24 09:35:00,48.85,48.85,48.775,48.805,6287.0,,,,,,,,,,,,,,,
2020-04-24 09:36:00,48.8,48.805,48.7,48.7,3543.0,,,,,,,,,,,,,,,
2020-04-24 09:37:00,48.71,48.73,48.64,48.725,3820.0,,,,,,,,,,,,,,,
2020-04-24 09:38:00,48.725,48.76,48.705,48.735,1450.0,,,,,,,,,,,,,,,
2020-04-24 09:39:00,48.71,48.78,48.71,48.74,12165.0,,,,,,,,,,,,,,,
2020-04-24 09:40:00,48.735,48.735,48.735,48.735,955.0,,,,,,,,,,,,,,,
2020-04-24 09:41:00,48.74,48.74,48.73,48.73,277.0,,,,,,,,,,,,,,,
2020-04-24 09:42:00,48.75,48.77,48.75,48.77,303.0,,,,,,,,,,,,,,,
2020-04-24 09:43:00,48.785,48.835,48.785,48.835,241.0,,,,,,,,,,,,,,,
2020-04-24 09:44:00,48.75,48.75,48.75,48.75,253.0,,,,,,,,,,,,,,,
2020-04-24 09:45:00,48.855,48.935,48.835,48.935,1800.0,,,,,,,,,,,,,,,
2020-04-24 09:46:00,48.935,48.975,48.935,48.975,593.0,,,,,,,,,,,,,,,
2020-04-24 09:47:00,48.975,48.985,48.93,48.93,2535.0,,,,,,,,,,,,,,,
2020-04-24 09:48:00,48.965,48.965,48.925,48.955,2823.0,,,,,,,,,,,,,,,
2020-04-24 09:49:00,48.975,48.975,48.92,48.93,632.0,,,,,,,,,,,,,,,
2020-04-24 09:50:00,48.93,48.935,48.93,48.935,210.0,,,,,,,,,,,,,,,
2020-04-24 09:51:00,48.955,48.975,48.88,48.9,3615.0,,,,,,,,,,,,,,,
2020-04-24 09:52:00,48.895,48.955,48.895,48.895,3056.0,,,,,,,,,,,,,,,
2020-04-24 09:53:00,48.9,48.92,48.845,48.845,3475.0,,,,,,,,,,,,,,,
2020-04-24 09:54:00,48.85,48.85,48.8,48.8,829.0,,,,,,,,,,,,,,,
2020-04-24 09:55:00,48.81,48.855,48.81,48.855,533.0,,,,,,,,,,,,,,,
2020-04-24 09:56:00,48.85,48.88,48.845,48.88,1534.0,,,,,,,,,,,,,,,
2020-04-24 09:57:00,48.855,48.855,48.835,48.835,1652.0,,,,,,,,,,,,,,,
2020-04-24 09:58:00,48.845,48.845,48.825,48.825,749.0,,,,,,,,,,,,,,,
2020-04-24 09:59:00,48.85,48.9,48.825,48.9,3715.0,,,,,,,,,,,,,,,
2020-04-24 10:00:00,48.915,48.95,48.825,48.89,10118.0,,,,,,,,,,,,,,,
2020-04-24 10:01:00,48.87,48.88,48.865,48.88,687.0,,,,,,,,,,,,,,,
2020-04-24 10:02:00,48.825,48.855,48.82,48.82,607.0,,,,,,,,,,,,,,,
2020-04-24 10:03:00,48.85,48.86,48.805,48.86,2692.0,,,,,,,,,,,,,,,
2020-04-24 10:04:00,48.835,48.84,48.78,48.79,3518.0,,,,,,,,,,,,,,,
2020-04-24 10:05:00,48.805,48.805,48.77,48.785,2781.0,,,,,,,,,,,,,,,
2020-04-24 10:06:00,48.81,48.815,48.79,48.79,558.0,,,,,,,,,,,,,,,
2020-04-24 10:07:00,48.8,48.82,48.79,48.805,1169.0,,,,,,,,,,,,,,,
2020-04-24 10:08:00,48.84,48.875,48.84,48.875,986.0,,,,,,,,,,,,,,,
2020-04-24 10:09:00,48.885,48.885,48.85,48.85,732.0,,,,,,,,,,,,,,,
2020-04-24 10:10:00,48.835,48.925,48.835,48.925,2280.0,,,,,,,,,,,,,,,
2020-04-24 10:11:00,48.925,48.975,48.925,48.94,1039.0,,,,,,,,,,,,,,,
2020-04-24 10:12:00,48.95,48.95,48.88,48.88,932.0,,,,,,,,,,,,,,,
2020-04-24 10:13:00,48.885,48.885,48.865,48.865,1116.0,,,,,,,,,,,,,,,
2020-04-24 10:14:00,48.85,48.86,48.82,48.82,2032.0,,,,,,,,,,,,,,,
2020-04-24 10:15:00,48.815,48.815,48.765,48.765,811.0,,,,,,,,,,,,,,,
2020-04-24 10:16:00,48.795,48.795,48.775,48.78,1211.0,,,,,,,,,,,,,,,
2020-04-24 10:17:00,48.75,48.75,48.75,48.75,924.0,,,,,,,,,,,,,,,
2020-04-24 10:18:00,48.72,48.72,48.68,48.695,2533.0,,,,,,,,,,,,,,,
2020-04-24 10:19:00,48.69,48.69,48.655,48.655,1854.0,,,,,,,,,,,,,,,
2020-04-24 10:20:00,48.665,48.665,48.635,48.635,7182.0,,,,,,,,,,,,,,,
2020-04-24 10:21:00,48.64,48.655,48.64,48.655,924.0,,,,,,,,,,,,,,,
2020-04-24 10:22:00,48.64,48.65,48.6,48.6,4768.0,,,,,,,,,,,,,,,
2020-04-24 10:23:00,48.59,48.6,48.54,48.54,1976.0,,,,,,,,,,,,,,,
2020-04-24 10:24:00,48.55,48.595,48.545,48.545,2008.0,,,,,,,,,,,,,,,
2020-04-24 10:25:00,48.55,48.555,48.51,48.535,2383.0,,,,,,,,,,,,,,,
2020-04-24 10:26:00,48.56,48.615,48.56,48.58,1367.0,,,,,,,,,,,,,,,
2020-04-24 10:27:00,48.57,48.64,48.57,48.625,1515.0,,,,,,,,,,,,,,,
2020-04-24 10:28:00,48.605,48.645,48.6,48.625,2718.0,,,,,,,,,,,,,,,
2020-04-24 10:29:00,48.645,48.67,48.645,48.67,1691.0,,,,,,,,,,,,,,,
2020-04-24 10:30:00,48.695,48.705,48.68,48.68,572.0,,,,,,,,,,,,,,,
2020-04-24 10:31:00,48.68,48.71,48.675,48.71,565.0,,,,,,,,,,,,,,,
2020-04-24 10:32:00,48.715,48.725,48.715,48.715,722.0,,,,,,,,,,,,,,,
2020-04-24 10:33:00,48.71,48.735,48.7,48.7,830.0,,,,,,,,,,,,,,,
2020-04-24 10:34:00,48.705,48.715,48.705,48.715,889.0,,,,,,,,,,,,,,,
2020-04-24 10:35:00,48.71,48.715,48.67,48.67,1916.0,,,,,,,,,,,,,,,
2020-04-24 10:36:00,48.635,48.645,48.625,48.645,581.0,,,,,,,,,,,,,,,
2020-04-24 10:37:00,48.62,48.62,48.6,48.605,1026.0,,,,,,,,,,,,,,,
2020-04-24 10:39:00,48.655,48.655,48.625,48.625,611.0,,,,,,,,,,,,,,,
2020-04-24 10:40:00,48.61,48.65,48.61,48.645,730.0,,,,,,,,,,,,,,,
2020-04-24 10:41:00,48.665,48.67,48.65,48.65,1811.0,,,,,,,,,,,,,,,
2020-04-24 10:42:00,48.685,48.695,48.685,48.685,548.0,,,,,,,,,,,,,,,
2020-04-24 10:43:00,48.67,48.685,48.67,48.685,203.0,,,,,,,,,,,,,,,
2020-04-24 10:44:00,48.72,48.725,48.705,48.705,914.0,,,,,,,,,,,,,,,
2020-04-24 10:45:00,48.705,48.705,48.69,48.69,536.0,,,,,,,,,,,,,,,
2020-04-24 10:46:00,48.715,48.73,48.705,48.705,2096.0,,,,,,,,,,,,,,,
2020-04-24 10:47:00,48.715,48.76,48.715,48.76,632.0,,,,,,,,,,,,,,,
2020-04-24 10:48:00,48.745,48.78,48.735,48.77,2536.0,,,,,,,,,,,,,,,
2020-04-24 10:49:00,48.77,48.815,48.77,48.815,1163.0,,,,,,,,,,,,,,,
2020-04-24 10:50:00,48.835,48.835,48.835,48.835,31.0,,,,,,,,,,,,,,,
2020-04-24 10:51:00,48.835,48.84,48.825,48.825,1529.0,,,,,,,,,,,,,,,
2020-04-24 10:52:00,48.845,48.845,48.83,48.83,755.0,,,,,,,,,,,,,,,
2020-04-24 10:53:00,48.845,48.87,48.81,48.81,3465.0,,,,,,,,,,,,,,,
2020-04-24 10:54:00,48.8,48.8,48.79,48.79,296.0,,,,,,,,,,,,,,,
2020-04-24 10:55:00,48.785,48.785,48.775,48.785,2240.0,,,,,,,,,,,,,,,
2020-04-24 10:56:00,48.795,48.805,48.775,48.805,5158.0,,,,,,,,,,,,,,,
2020-04-24 10:57:00,48.815,48.845,48.81,48.83,6759.0,,,,,,,,,,,,,,,
2020-04-24 10:58:00,48.84,48.84,48.82,48.82,908.0,,,,,,,,,,,,,,,
2020-04-24 10:59:00,48.825,48.825,48.81,48.81,82.0,,,,,,,,,,,,,,,
2020-04-24 11:00:00,48.775,48.79,48.775,48.79,374.0,,,,,,,,,,,,,,,
2020-04-24 11:01:00,48.825,48.87,48.825,48.87,3966.0,,,,,,,,,,,,,,,
2020-04-24 11:02:00,48.88,48.905,48.88,48.88,1122.0,,,,,,,,,,,,,,,
2020-04-24 11:03:00,48.895,48.895,48.845,48.855,2466.0,,,,,,,,,,,,,,,
2020-04-24 11:04:00,48.845,48.895,48.845,48.875,2979.0,,,,,,,,,,,,,,,
2020-04-24 11:05:00,48.91,48.955,48.91,48.945,2534.0,,,,,,,,,,,,,,,
2020-04-24 11:06:00,48.975,49.015,48.975,49.015,3318.0,,,,,,,,,,,,,,,
2020-04-24 11:07:00,49.03,49.04,48.995,49.04,2363.0,,,,,,,,,,,,,,,
2020-04-24 11:08:00,49.055,49.12,49.055,49.12,2000.0,,,,,,,,,,,,,,,
2020-04-24 11:09:00,49.13,49.13,49.085,49.085,1911.0,,,,,,,,,,,,,,,
2020-04-24 11:10:00,49.115,49.26,49.1,49.255,4819.0,,,,,,,,,,,,,,,
2020-04-24 11:11:00,49.255,49.335,49.25,49.3,10275.0,,,,,,,,,,,,,,,
2020-04-24 11:12:00,49.305,49.4,49.305,49.375,4842.0,,,,,,,,,,,,,,,
2020-04-24 11:13:00,49.37,49.385,49.34,49.375,5301.0,,,,,,,,,,,,,,,
2020-04-24 11:14:00,49.41,49.41,49.305,49.325,2891.0,,,,,,,,,,,,,,,
2020-04-24 11:15:00,49.34,49.435,49.34,49.41,736.0,,,,,,,,,,,,,,,
2020-04-24 11:16:00,49.41,49.42,49.355,49.355,1953.0,,,,,,,,,,,,,,,
2020-04-24 11:17:00,49.39,49.39,49.345,49.35,471.0,,,,,,,,,,,,,,,
2020-04-24 11:18:00,49.32,49.32,49.315,49.315,1729.0,,,,,,,,,,,,,,,
2020-04-24 11:19:00,49.315,49.32,49.29,49.29,527.0,,,,,,,,,,,,,,,
2020-04-24 11:20:00,49.31,49.315,49.3,49.3,482.0,https://www.reuters.com/article/brief-bmw-to-start-production-in-stages/brief-bmw-to-start-production-in-stages-at-end-of-april-idUSS8N2CB0BE,['BRIEF-BMW To Start Production In Stages At End Of April'],"['April 24, 2020 /  11:20 AM / a month ago']","['April 24 (Reuters) - BMW: ', '* SPOKESMAN SAYS  TO BEGIN PRODUCTION IN STAGES AT THE END OF APRIL 2020 ', '* BMW SPOKESMAN SAYS PRODUCTION AT PLANT IN GOODWOOD AND SPARTANBURG TO BEGIN IN STEPS FROM MAY 4 (Berlin Speed Desk)']",2020-04-24 11:20:00,NEGATIVE (0.956),NEGATIVE (0.999),0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-04-24 11:21:00,49.28,49.28,49.245,49.265,2339.0,,,,,,,,,,,,,,,
2020-04-24 11:22:00,49.28,49.305,49.28,49.28,894.0,,,,,,,,,,,,,,,
2020-04-24 11:23:00,49.295,49.295,49.245,49.245,582.0,,,,,,,,,,,,,,,
2020-04-24 11:24:00,49.24,49.24,49.18,49.18,4628.0,,,,,,,,,,,,,,,
