Date,OPEN,HIGH,LOW,CLOSE,VOLUME,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-11-08 09:01:00,183.78,183.78,183.06,183.14,19841.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:02:00,183.06,183.2,182.9,183.2,1826.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:03:00,183.28,183.5,183.28,183.4,2941.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:04:00,183.38,183.64,183.38,183.62,396.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:05:00,183.62,183.66,183.38,183.38,2112.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:06:00,183.34,183.6,183.12,183.32,1793.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:07:00,183.26,183.32,182.9,182.9,5543.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:08:00,182.9,182.9,182.5,182.8,7950.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:09:00,182.76,182.88,182.66,182.78,1507.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:10:00,182.72,182.86,182.72,182.84,457.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:11:00,182.9,183.2,182.9,183.18,2271.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:12:00,183.22,183.32,183.22,183.28,789.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:13:00,183.22,183.22,182.74,182.74,2177.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:14:00,182.8,182.9,182.8,182.88,547.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:15:00,182.88,183.02,182.88,183.0,1285.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:16:00,182.96,182.96,182.94,182.94,20.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:17:00,182.94,182.94,182.8,182.8,679.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:18:00,182.8,182.88,182.7,182.78,5007.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:19:00,182.74,182.74,182.7,182.74,1054.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:20:00,182.74,182.74,182.64,182.64,1260.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:21:00,182.62,182.82,182.62,182.82,1517.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:22:00,182.82,182.84,182.72,182.72,795.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:23:00,182.7,182.88,182.62,182.72,3325.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:24:00,182.74,182.78,182.6,182.64,3205.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:25:00,182.6,182.78,182.6,182.76,1261.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:26:00,182.72,182.72,182.68,182.68,408.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:27:00,182.66,182.74,182.64,182.7,2386.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:28:00,182.68,182.68,182.58,182.66,1078.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:29:00,182.68,182.7,182.6,182.6,796.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:30:00,182.6,182.62,182.52,182.58,973.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:31:00,182.56,182.64,182.46,182.5,2212.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:32:00,182.52,182.66,182.52,182.56,1427.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:33:00,182.52,182.52,182.38,182.44,1190.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:34:00,182.44,182.46,182.36,182.36,200.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:35:00,182.36,182.42,182.34,182.36,2576.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:36:00,182.44,182.54,182.4,182.4,1916.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:37:00,182.32,182.52,182.32,182.52,421.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:38:00,182.54,182.6,182.54,182.58,739.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:39:00,182.6,182.64,182.54,182.54,1986.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:40:00,182.52,182.54,182.52,182.54,456.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:41:00,182.54,182.58,182.52,182.58,647.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:42:00,182.54,182.58,182.54,182.58,214.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:43:00,182.54,182.56,182.4,182.4,1859.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:44:00,182.44,182.5,182.44,182.5,315.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:45:00,182.58,182.58,182.52,182.58,500.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:46:00,182.6,182.6,182.52,182.52,731.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:47:00,182.54,182.54,182.44,182.44,529.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:48:00,182.42,182.54,182.36,182.54,1096.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:49:00,182.56,182.56,182.38,182.52,3591.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:50:00,182.54,182.54,182.48,182.48,596.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:51:00,182.5,182.5,182.38,182.38,1960.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:52:00,182.34,182.36,182.3,182.34,700.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:53:00,182.36,182.38,182.36,182.36,890.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:54:00,182.36,182.44,182.34,182.42,1184.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:55:00,182.44,182.46,182.44,182.46,803.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:56:00,182.42,182.46,182.4,182.46,1532.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:57:00,182.44,182.48,182.44,182.48,342.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:58:00,182.5,182.5,182.46,182.46,663.0,,,,,,,,,,,,,,,,,,,
2019-11-08 09:59:00,182.48,182.48,182.44,182.46,787.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:00:00,182.48,182.5,182.46,182.5,801.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:01:00,182.48,182.58,182.48,182.58,1911.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:02:00,182.58,182.6,182.46,182.56,2770.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:03:00,182.56,182.6,182.56,182.6,1164.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:04:00,182.6,182.62,182.58,182.62,827.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:05:00,182.6,182.62,182.56,182.62,641.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:06:00,182.58,182.62,182.54,182.54,1206.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:07:00,182.52,182.6,182.5,182.52,2332.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:08:00,182.48,182.5,182.46,182.5,559.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:09:00,182.5,182.54,182.48,182.54,115.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:10:00,182.52,182.52,182.44,182.46,2280.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:11:00,182.46,182.46,182.4,182.4,934.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:12:00,182.44,182.52,182.42,182.52,1471.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:13:00,182.48,182.54,182.48,182.52,1525.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:14:00,182.52,182.62,182.52,182.62,403.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:15:00,182.62,182.68,182.62,182.62,1457.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:16:00,182.64,182.7,182.62,182.66,795.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:17:00,182.68,182.68,182.66,182.66,223.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:18:00,182.7,182.94,182.68,182.94,5586.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:19:00,182.94,182.94,182.66,182.66,1280.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:20:00,182.66,182.68,182.64,182.68,111.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:21:00,182.68,182.68,182.62,182.66,194.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:22:00,182.7,182.74,182.64,182.72,1189.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:23:00,182.68,182.74,182.66,182.74,944.0,,,,,,,,,,,,,,,,,,,
2019-11-08 10:24:00,182.72,182.72,182.72,182.72,352.0,,,,,,,,,,,,,,,,,,,
