Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2020-02-17 09:00:00,173.3,174.4,172.58,173.86,221196.0,0.0,0,0.0,0
2020-02-17 10:00:00,173.88,174.16,173.12,173.54,50786.0,0.23999999999998067,1,-170410.0,0
2020-02-17 11:00:00,173.6,173.78,173.4,173.44,24208.0,-0.4399999999999977,0,-26578.0,0
2020-02-17 12:00:00,173.48,173.72,173.06,173.68,28425.0,0.0800000000000125,1,4217.0,1
2020-02-17 13:00:00,173.74,174.3,173.34,173.38,56881.0,-0.09999999999999432,0,28456.0,1
2020-02-17 14:00:00,173.46,174.28,172.98,174.1,64625.0,0.3599999999999852,1,7744.0,1
2020-02-17 15:00:00,174.04,174.1,173.24,173.54,40227.0,0.07999999999998408,1,-24398.0,0
2020-02-17 16:00:00,173.54,173.56,172.34,172.66,57620.0,-1.3799999999999955,0,17393.0,1
2020-02-17 17:00:00,172.66,172.88,172.52,172.52,180653.0,-1.0199999999999818,0,123033.0,1
