Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header,release time,article content,formatteddate,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2020-07-23 09:03:00,1570.0,1570.0,1570.0,1570.0,1.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,
2020-07-23 09:44:00,1570.0,1570.0,1570.0,1570.0,9.0,0.0,0,8.0,1,,,,,,,,,,,,,,,,,,,,,
2020-07-23 11:12:00,1570.0,1570.0,1570.0,1570.0,2.0,0.0,0,-7.0,0,,,,,,,,,,,,,,,,,,,,,
2020-07-23 11:20:00,1560.0,1560.0,1560.0,1560.0,3.0,-10.0,0,1.0,1,,,,,,,,,,,,,,,,,,,,,
2020-07-23 12:08:00,1570.0,1570.0,1570.0,1570.0,30.0,10.0,1,27.0,1,,,,,,,,,,,,,,,,,,,,,
2020-07-23 12:09:00,1560.0,1560.0,1560.0,1560.0,1.0,-10.0,0,-29.0,0,,,,,,,,,,,,,,,,,,,,,
2020-07-23 13:04:00,1570.0,1570.0,1570.0,1570.0,63.0,10.0,1,62.0,1,,,,,,,,,,,,,,,,,,,,,
2020-07-23 13:31:00,1560.0,1560.0,1560.0,1560.0,1.0,-10.0,0,-62.0,0,,,,,,,,,,,,,,,,,,,,,
2020-07-23 13:44:00,1560.0,1560.0,1560.0,1560.0,2.0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,,,,
2020-07-23 14:20:00,1560.0,1560.0,1560.0,1560.0,1.0,0.0,0,-1.0,0,,,,,,,,,,,,,,,,,,,,,
2020-07-23 16:07:00,1570.0,1570.0,1570.0,1570.0,1.0,10.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,
2020-07-23 16:35:00,1570.0,1570.0,1570.0,1570.0,1.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,
2020-07-23 16:37:00,1570.0,1570.0,1570.0,1570.0,1.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,
2020-07-23 17:25:00,1570.0,1570.0,1560.0,1560.0,5.0,-10.0,0,4.0,1,,,,,,,,,,,,,,,,,,,,,
2020-07-23 17:37:00,1560.0,1560.0,1560.0,1560.0,8.0,-10.0,0,3.0,1,,,,,,,,,,,,,,,,,,,,,
