Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header,release time,article content,formatteddate,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-10-01 09:01:00,156.4,156.78,156.4,156.46,4434.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:02:00,156.7,156.7,156.38,156.54,1233.0,0.13999999999998636,1,-3201.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:03:00,156.36,156.52,156.22,156.52,1913.0,-0.1799999999999784,0,680.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:04:00,156.56,156.74,156.5,156.56,800.0,0.19999999999998866,1,-1113.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:05:00,156.66,156.66,156.5,156.5,237.0,-0.060000000000002274,0,-563.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:06:00,156.56,156.86,156.5,156.6,3151.0,-0.060000000000002274,0,2914.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:07:00,156.58,157.28,156.54,157.16,4452.0,0.5999999999999943,1,1301.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:08:00,157.16,157.2,156.84,157.0,2783.0,0.4199999999999875,1,-1669.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:09:00,157.0,157.0,156.86,156.96,928.0,-0.19999999999998866,0,-1855.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:10:00,157.04,157.18,156.96,156.98,973.0,-0.020000000000010232,0,45.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:11:00,157.04,157.14,156.82,156.88,2276.0,-0.1599999999999966,0,1303.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:12:00,156.88,157.06,156.88,157.06,475.0,0.020000000000010232,1,-1801.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:13:00,157.08,157.2,157.06,157.1,1249.0,0.21999999999999886,1,774.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:14:00,157.0,157.1,157.0,157.1,551.0,0.01999999999998181,1,-698.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:15:00,157.14,157.14,157.02,157.08,1194.0,0.0800000000000125,1,643.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:16:00,157.14,157.46,157.14,157.36,4937.0,0.22000000000002728,1,3743.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-01 09:17:00,157.34,157.46,157.32,157.32,691.0,0.18000000000000682,1,-4246.0,0,,,,,,,,,,,,,,,,,,,,,
