Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,flair_sentiment_header_score,flair_sentiment_content_score,compound_vader_header,compound_vader_articel_content,polarity_textblob_sentiment_header,polarity_textblob_sentiment_content
2020-07-09 09:00:00,135.64,137.26,134.86,136.38,112508.0,0.0,0,0.0,0,,,,,,
2020-07-09 10:00:00,136.38,136.88,135.56,135.66,53546.0,0.020000000000010232,1,-58962.0,0,,,,,,
2020-07-09 11:00:00,135.66,136.16,135.28,136.06,38749.0,-0.3199999999999932,0,-14797.0,0,,,,,,
2020-07-09 12:00:00,136.04,136.22,135.56,135.86,23412.0,0.20000000000001705,1,-15337.0,0,,,,,,
2020-07-09 13:00:00,135.86,136.6,135.78,136.5,49305.0,0.460000000000008,1,25893.0,1,-0.9996,-0.9951,0.0,0.1779,-0.1555555555555556,0.1
2020-07-09 13:00:00,135.86,136.6,135.78,136.5,49305.0,0.460000000000008,1,25893.0,1,-0.9996,-0.9448,0.0,0.6908,-0.1555555555555556,0.06392045454545454
2020-07-09 13:00:00,135.86,136.6,135.78,136.5,49305.0,0.460000000000008,1,25893.0,1,-0.9996,-0.9951,0.0,0.1779,-0.1555555555555556,0.1
2020-07-09 13:00:00,135.86,136.6,135.78,136.5,49305.0,0.460000000000008,1,25893.0,1,-0.9996,-0.9448,0.0,0.6908,-0.1555555555555556,0.06392045454545454
2020-07-09 14:00:00,136.5,137.26,136.38,136.86,57970.0,1.0,1,8665.0,1,,,,,,
2020-07-09 15:00:00,136.84,138.14,136.6,137.12,90356.0,0.6200000000000045,1,32386.0,1,-0.8712,-0.9771,-0.29600000000000004,-0.2967,0.5,0.13134920634920633
2020-07-09 15:00:00,136.84,138.14,136.6,137.12,90356.0,0.6200000000000045,1,32386.0,1,-0.8712,-0.975,-0.29600000000000004,0.5182,0.5,0.07796092796092796
2020-07-09 15:00:00,136.84,138.14,136.6,137.12,90356.0,0.6200000000000045,1,32386.0,1,-0.8712,-0.9771,-0.29600000000000004,-0.2967,0.5,0.13134920634920633
2020-07-09 15:00:00,136.84,138.14,136.6,137.12,90356.0,0.6200000000000045,1,32386.0,1,-0.8712,-0.975,-0.29600000000000004,0.5182,0.5,0.07796092796092796
2020-07-09 16:00:00,137.1,137.88,135.6,135.76,117104.0,-1.0800000000000125,0,26748.0,1,,,,,,
2020-07-09 17:00:00,135.66,136.28,134.98,135.6,240227.0,-1.5,0,123123.0,1,,,,,,
