Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-02-13 08:01:00,19.885,19.885,19.78,19.81,31766.0
2020-02-13 08:02:00,19.82,19.865,19.8,19.8,16772.0
2020-02-13 08:03:00,19.81,19.82,19.72,19.75,24405.0
2020-02-13 08:04:00,19.76,19.765,19.725,19.725,3360.0
2020-02-13 08:05:00,19.73,19.775,19.72,19.77,4758.0
2020-02-13 08:06:00,19.79,19.845,19.79,19.835,9419.0
2020-02-13 08:07:00,19.85,19.86,19.835,19.855,17113.0
2020-02-13 08:08:00,19.86,19.91,19.855,19.9,2737.0
2020-02-13 08:09:00,19.885,19.91,19.88,19.885,12789.0
2020-02-13 08:10:00,19.85,19.865,19.835,19.835,3655.0
2020-02-13 08:11:00,19.82,19.82,19.8,19.8,4047.0
2020-02-13 08:12:00,19.79,19.805,19.78,19.8,4537.0
2020-02-13 08:13:00,19.805,19.825,19.79,19.805,6311.0
2020-02-13 08:14:00,19.805,19.83,19.805,19.81,4877.0
2020-02-13 08:15:00,19.815,19.84,19.815,19.84,1960.0
2020-02-13 08:16:00,19.82,19.82,19.815,19.82,2484.0
2020-02-13 08:17:00,19.82,19.83,19.82,19.83,1090.0
2020-02-13 08:18:00,19.81,19.815,19.795,19.805,4729.0
2020-02-13 08:19:00,19.79,19.83,19.79,19.83,6946.0
2020-02-13 08:20:00,19.83,19.83,19.815,19.82,5229.0
2020-02-13 08:21:00,19.825,19.835,19.825,19.835,4426.0
2020-02-13 08:22:00,19.84,19.87,19.84,19.87,1299.0
2020-02-13 08:23:00,19.875,19.91,19.875,19.91,8084.0
2020-02-13 08:24:00,19.905,19.925,19.905,19.91,4548.0
2020-02-13 08:25:00,19.89,19.89,19.88,19.88,3096.0
2020-02-13 08:26:00,19.88,19.88,19.865,19.865,4011.0
2020-02-13 08:27:00,19.86,19.86,19.855,19.855,1510.0
2020-02-13 08:28:00,19.85,19.855,19.835,19.835,4252.0
2020-02-13 08:29:00,19.84,19.84,19.83,19.84,1750.0
2020-02-13 08:30:00,19.83,19.84,19.81,19.84,6234.0
2020-02-13 08:31:00,19.84,19.87,19.84,19.865,7059.0
2020-02-13 08:32:00,19.855,19.855,19.815,19.825,9473.0
2020-02-13 08:33:00,19.81,19.84,19.805,19.84,6456.0
2020-02-13 08:34:00,19.83,19.83,19.815,19.815,881.0
2020-02-13 08:35:00,19.82,19.835,19.82,19.835,928.0
2020-02-13 08:36:00,19.8,19.805,19.77,19.77,7847.0
2020-02-13 08:37:00,19.77,19.78,19.77,19.77,32470.0
