Date,OPEN,HIGH,LOW,CLOSE,VOLUME,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content
2019-08-01 09:03:00,59.6,59.6,59.6,59.6,2280.0,,,,,,,,,,,,,,,
2019-08-01 09:04:00,59.64,59.64,59.6,59.6,808.0,,,,,,,,,,,,,,,
2019-08-01 09:05:00,59.54,59.54,59.24,59.28,4200.0,,,,,,,,,,,,,,,
2019-08-01 09:06:00,59.4,59.54,59.4,59.54,1145.0,,,,,,,,,,,,,,,
2019-08-01 09:07:00,59.54,59.6,59.48,59.52,3241.0,,,,,,,,,,,,,,,
2019-08-01 09:09:00,59.66,59.72,59.66,59.72,308.0,,,,,,,,,,,,,,,
2019-08-01 09:12:00,59.8,59.9,59.78,59.84,2371.0,,,,,,,,,,,,,,,
2019-08-01 09:14:00,59.9,59.9,59.88,59.9,346.0,,,,,,,,,,,,,,,
2019-08-01 09:15:00,59.9,59.9,59.9,59.9,337.0,,,,,,,,,,,,,,,
2019-08-01 09:16:00,59.9,59.98,59.9,59.98,279.0,,,,,,,,,,,,,,,
2019-08-01 09:17:00,59.9,59.9,59.9,59.9,191.0,,,,,,,,,,,,,,,
2019-08-01 09:18:00,59.9,59.9,59.82,59.82,519.0,,,,,,,,,,,,,,,
2019-08-01 09:19:00,59.76,59.76,59.74,59.74,184.0,,,,,,,,,,,,,,,
2019-08-01 09:21:00,59.78,59.78,59.74,59.74,400.0,,,,,,,,,,,,,,,
2019-08-01 09:22:00,59.68,59.74,59.62,59.74,2196.0,,,,,,,,,,,,,,,
2019-08-01 09:23:00,59.78,59.78,59.74,59.74,1177.0,,,,,,,,,,,,,,,
2019-08-01 09:24:00,59.76,59.76,59.76,59.76,239.0,,,,,,,,,,,,,,,
2019-08-01 09:25:00,59.82,59.84,59.82,59.84,406.0,,,,,,,,,,,,,,,
2019-08-01 09:26:00,59.86,59.86,59.86,59.86,10.0,,,,,,,,,,,,,,,
2019-08-01 09:27:00,59.8,59.8,59.8,59.8,65.0,,,,,,,,,,,,,,,
2019-08-01 09:29:00,59.8,59.8,59.8,59.8,357.0,,,,,,,,,,,,,,,
2019-08-01 09:31:00,59.78,59.78,59.78,59.78,211.0,,,,,,,,,,,,,,,
2019-08-01 09:32:00,59.76,59.86,59.74,59.86,1269.0,,,,,,,,,,,,,,,
2019-08-01 09:35:00,59.82,59.86,59.82,59.82,589.0,,,,,,,,,,,,,,,
2019-08-01 09:37:00,59.88,59.92,59.88,59.9,772.0,,,,,,,,,,,,,,,
2019-08-01 09:38:00,59.92,59.92,59.92,59.92,71.0,,,,,,,,,,,,,,,
2019-08-01 09:39:00,59.94,59.98,59.88,59.88,313.0,,,,,,,,,,,,,,,
2019-08-01 09:42:00,59.92,59.92,59.92,59.92,84.0,,,,,,,,,,,,,,,
2019-08-01 09:43:00,59.88,59.88,59.88,59.88,133.0,,,,,,,,,,,,,,,
2019-08-01 09:44:00,59.86,59.9,59.86,59.86,363.0,,,,,,,,,,,,,,,
2019-08-01 09:46:00,59.9,59.96,59.9,59.96,312.0,,,,,,,,,,,,,,,
2019-08-01 09:47:00,59.9,59.9,59.9,59.9,65.0,,,,,,,,,,,,,,,
2019-08-01 09:50:00,59.88,59.88,59.8,59.8,157.0,,,,,,,,,,,,,,,
2019-08-01 09:54:00,59.86,59.9,59.84,59.86,2159.0,,,,,,,,,,,,,,,
2019-08-01 09:55:00,59.84,59.84,59.84,59.84,322.0,,,,,,,,,,,,,,,
2019-08-01 09:57:00,59.84,59.86,59.82,59.86,316.0,,,,,,,,,,,,,,,
2019-08-01 09:58:00,59.82,59.82,59.8,59.8,681.0,,,,,,,,,,,,,,,
2019-08-01 09:59:00,59.78,59.78,59.76,59.76,410.0,,,,,,,,,,,,,,,
2019-08-01 10:00:00,59.8,59.8,59.8,59.8,496.0,,,,,,,,,,,,,,,
2019-08-01 10:01:00,59.82,59.82,59.82,59.82,426.0,,,,,,,,,,,,,,,
2019-08-01 10:02:00,59.84,59.84,59.84,59.84,221.0,,,,,,,,,,,,,,,
2019-08-01 10:03:00,59.88,59.88,59.82,59.82,2001.0,,,,,,,,,,,,,,,
2019-08-01 10:04:00,59.84,59.84,59.84,59.84,167.0,,,,,,,,,,,,,,,
2019-08-01 10:05:00,59.84,59.84,59.84,59.84,16.0,,,,,,,,,,,,,,,
2019-08-01 10:06:00,59.82,59.82,59.82,59.82,870.0,,,,,,,,,,,,,,,
2019-08-01 10:07:00,59.8,59.8,59.8,59.8,358.0,,,,,,,,,,,,,,,
2019-08-01 10:08:00,59.78,59.78,59.78,59.78,388.0,,,,,,,,,,,,,,,
2019-08-01 10:09:00,59.8,59.8,59.8,59.8,227.0,,,,,,,,,,,,,,,
2019-08-01 10:11:00,59.72,59.72,59.7,59.72,2079.0,,,,,,,,,,,,,,,
2019-08-01 10:12:00,59.72,59.72,59.64,59.64,3533.0,,,,,,,,,,,,,,,
2019-08-01 10:13:00,59.62,59.62,59.58,59.58,721.0,,,,,,,,,,,,,,,
2019-08-01 10:15:00,59.56,59.56,59.56,59.56,130.0,,,,,,,,,,,,,,,
2019-08-01 10:16:00,59.58,59.6,59.58,59.6,911.0,,,,,,,,,,,,,,,
2019-08-01 10:17:00,59.58,59.58,59.58,59.58,146.0,,,,,,,,,,,,,,,
2019-08-01 10:18:00,59.58,59.66,59.58,59.66,478.0,,,,,,,,,,,,,,,
2019-08-01 10:19:00,59.68,59.68,59.68,59.68,181.0,,,,,,,,,,,,,,,
2019-08-01 10:21:00,59.66,59.66,59.58,59.58,886.0,,,,,,,,,,,,,,,
2019-08-01 10:22:00,59.56,59.56,59.56,59.56,189.0,,,,,,,,,,,,,,,
2019-08-01 10:24:00,59.5,59.5,59.48,59.48,200.0,,,,,,,,,,,,,,,
2019-08-01 10:26:00,59.52,59.52,59.52,59.52,153.0,,,,,,,,,,,,,,,
2019-08-01 10:27:00,59.5,59.5,59.46,59.46,178.0,,,,,,,,,,,,,,,
2019-08-01 10:28:00,59.4,59.44,59.4,59.44,196.0,,,,,,,,,,,,,,,
2019-08-01 10:29:00,59.42,59.42,59.38,59.38,214.0,,,,,,,,,,,,,,,
2019-08-01 10:30:00,59.34,59.34,59.34,59.34,82.0,,,,,,,,,,,,,,,
2019-08-01 10:31:00,59.3,59.3,59.3,59.3,45.0,,,,,,,,,,,,,,,
2019-08-01 10:32:00,59.28,59.32,59.26,59.32,516.0,,,,,,,,,,,,,,,
2019-08-01 10:33:00,59.32,59.32,59.32,59.32,547.0,,,,,,,,,,,,,,,
2019-08-01 10:34:00,59.32,59.32,59.32,59.32,13.0,,,,,,,,,,,,,,,
2019-08-01 10:35:00,59.36,59.4,59.36,59.4,602.0,,,,,,,,,,,,,,,
2019-08-01 10:36:00,59.36,59.38,59.36,59.38,324.0,,,,,,,,,,,,,,,
2019-08-01 10:37:00,59.46,59.46,59.44,59.44,426.0,,,,,,,,,,,,,,,
2019-08-01 10:38:00,59.42,59.46,59.42,59.46,134.0,,,,,,,,,,,,,,,
2019-08-01 10:39:00,59.52,59.52,59.52,59.52,217.0,,,,,,,,,,,,,,,
2019-08-01 10:40:00,59.48,59.48,59.48,59.48,3.0,,,,,,,,,,,,,,,
2019-08-01 10:41:00,59.48,59.48,59.48,59.48,70.0,,,,,,,,,,,,,,,
2019-08-01 10:42:00,59.5,59.56,59.44,59.44,611.0,,,,,,,,,,,,,,,
2019-08-01 10:43:00,59.46,59.46,59.46,59.46,35.0,,,,,,,,,,,,,,,
2019-08-01 10:45:00,59.48,59.48,59.48,59.48,132.0,,,,,,,,,,,,,,,
2019-08-01 10:46:00,59.48,59.48,59.46,59.48,130.0,,,,,,,,,,,,,,,
2019-08-01 10:47:00,59.44,59.44,59.42,59.42,108.0,,,,,,,,,,,,,,,
2019-08-01 10:48:00,59.42,59.42,59.42,59.42,55.0,,,,,,,,,,,,,,,
2019-08-01 10:50:00,59.46,59.46,59.46,59.46,401.0,,,,,,,,,,,,,,,
2019-08-01 10:51:00,59.42,59.44,59.42,59.44,472.0,,,,,,,,,,,,,,,
2019-08-01 10:53:00,59.48,59.48,59.48,59.48,50.0,,,,,,,,,,,,,,,
2019-08-01 10:57:00,59.52,59.52,59.52,59.52,95.0,,,,,,,,,,,,,,,
2019-08-01 10:58:00,59.52,59.52,59.52,59.52,14.0,,,,,,,,,,,,,,,
2019-08-01 11:02:00,59.52,59.52,59.52,59.52,3.0,,,,,,,,,,,,,,,
2019-08-01 11:03:00,59.52,59.52,59.52,59.52,450.0,,,,,,,,,,,,,,,
2019-08-01 11:04:00,59.52,59.52,59.52,59.52,100.0,,,,,,,,,,,,,,,
2019-08-01 11:05:00,59.54,59.54,59.54,59.54,180.0,,,,,,,,,,,,,,,
2019-08-01 11:06:00,59.56,59.8,59.56,59.68,1751.0,,,,,,,,,,,,,,,
2019-08-01 11:07:00,59.64,59.66,59.64,59.66,191.0,,,,,,,,,,,,,,,
2019-08-01 11:09:00,59.8,59.8,59.8,59.8,100.0,,,,,,,,,,,,,,,
2019-08-01 11:10:00,59.76,59.76,59.76,59.76,119.0,,,,,,,,,,,,,,,
2019-08-01 11:13:00,59.78,59.82,59.78,59.82,997.0,,,,,,,,,,,,,,,
2019-08-01 11:14:00,59.8,59.8,59.8,59.8,133.0,,,,,,,,,,,,,,,
2019-08-01 11:15:00,59.8,59.8,59.78,59.78,67.0,,,,,,,,,,,,,,,
2019-08-01 11:16:00,59.84,59.84,59.78,59.78,306.0,,,,,,,,,,,,,,,
2019-08-01 11:17:00,59.76,59.78,59.76,59.78,857.0,,,,,,,,,,,,,,,
2019-08-01 11:18:00,59.8,59.8,59.8,59.8,200.0,,,,,,,,,,,,,,,
2019-08-01 11:20:00,59.78,59.78,59.78,59.78,187.0,,,,,,,,,,,,,,,
2019-08-01 11:22:00,59.78,59.78,59.76,59.76,233.0,,,,,,,,,,,,,,,
2019-08-01 11:24:00,59.74,59.74,59.74,59.74,196.0,,,,,,,,,,,,,,,
2019-08-01 11:25:00,59.78,59.78,59.78,59.78,198.0,,,,,,,,,,,,,,,
2019-08-01 11:26:00,59.74,59.74,59.72,59.74,379.0,,,,,,,,,,,,,,,
2019-08-01 11:27:00,59.8,59.82,59.8,59.82,414.0,,,,,,,,,,,,,,,
2019-08-01 11:30:00,59.78,59.78,59.76,59.76,350.0,,,,,,,,,,,,,,,
2019-08-01 11:31:00,59.78,59.78,59.78,59.78,100.0,,,,,,,,,,,,,,,
2019-08-01 11:35:00,59.8,59.82,59.8,59.82,399.0,,,,,,,,,,,,,,,
2019-08-01 11:36:00,59.82,59.82,59.8,59.8,256.0,,,,,,,,,,,,,,,
2019-08-01 11:39:00,59.86,59.86,59.86,59.86,89.0,,,,,,,,,,,,,,,
2019-08-01 11:40:00,59.84,59.88,59.8,59.8,1863.0,,,,,,,,,,,,,,,
2019-08-01 11:41:00,59.82,59.82,59.82,59.82,134.0,,,,,,,,,,,,,,,
2019-08-01 11:42:00,59.8,59.8,59.8,59.8,745.0,,,,,,,,,,,,,,,
2019-08-01 11:43:00,59.78,59.78,59.76,59.76,408.0,,,,,,,,,,,,,,,
2019-08-01 11:47:00,59.82,59.84,59.82,59.84,1486.0,,,,,,,,,,,,,,,
2019-08-01 11:48:00,59.88,59.92,59.88,59.92,601.0,,,,,,,,,,,,,,,
2019-08-01 11:49:00,59.86,59.86,59.86,59.86,370.0,,,,,,,,,,,,,,,
2019-08-01 11:50:00,59.88,59.88,59.88,59.88,36.0,,,,,,,,,,,,,,,
2019-08-01 11:51:00,59.88,59.88,59.86,59.86,502.0,,,,,,,,,,,,,,,
2019-08-01 11:52:00,59.84,59.84,59.84,59.84,276.0,,,,,,,,,,,,,,,
2019-08-01 11:53:00,59.84,59.84,59.84,59.84,73.0,,,,,,,,,,,,,,,
2019-08-01 11:55:00,59.88,59.88,59.84,59.84,283.0,,,,,,,,,,,,,,,
2019-08-01 11:56:00,59.84,59.84,59.84,59.84,28.0,,,,,,,,,,,,,,,
2019-08-01 11:57:00,59.84,59.84,59.84,59.84,153.0,,,,,,,,,,,,,,,
2019-08-01 11:58:00,59.86,59.9,59.86,59.9,111.0,,,,,,,,,,,,,,,
2019-08-01 11:59:00,59.86,59.86,59.8,59.8,265.0,,,,,,,,,,,,,,,
2019-08-01 12:00:00,59.82,59.82,59.82,59.82,822.0,,,,,,,,,,,,,,,
2019-08-01 12:02:00,59.82,59.82,59.8,59.8,215.0,,,,,,,,,,,,,,,
2019-08-01 12:07:00,59.84,59.86,59.84,59.86,436.0,,,,,,,,,,,,,,,
2019-08-01 12:08:00,59.9,59.92,59.9,59.92,506.0,,,,,,,,,,,,,,,
2019-08-01 12:09:00,59.92,59.92,59.86,59.88,164.0,,,,,,,,,,,,,,,
2019-08-01 12:10:00,59.88,59.88,59.88,59.88,100.0,,,,,,,,,,,,,,,
2019-08-01 12:11:00,59.88,59.88,59.88,59.88,8.0,,,,,,,,,,,,,,,
2019-08-01 12:12:00,59.86,59.86,59.84,59.84,104.0,,,,,,,,,,,,,,,
2019-08-01 12:13:00,59.82,59.82,59.82,59.82,200.0,,,,,,,,,,,,,,,
2019-08-01 12:14:00,59.82,59.84,59.8,59.82,224.0,,,,,,,,,,,,,,,
2019-08-01 12:15:00,59.82,59.82,59.82,59.82,220.0,,,,,,,,,,,,,,,
2019-08-01 12:16:00,59.84,59.84,59.84,59.84,7.0,,,,,,,,,,,,,,,
2019-08-01 12:18:00,59.8,59.8,59.8,59.8,40.0,,,,,,,,,,,,,,,
2019-08-01 12:19:00,59.84,59.9,59.8,59.9,533.0,,,,,,,,,,,,,,,
2019-08-01 12:21:00,59.86,59.86,59.84,59.84,387.0,,,,,,,,,,,,,,,
2019-08-01 12:22:00,59.84,59.84,59.84,59.84,2.0,,,,,,,,,,,,,,,
2019-08-01 12:24:00,59.88,59.88,59.88,59.88,20.0,,,,,,,,,,,,,,,
2019-08-01 12:28:00,59.82,59.84,59.82,59.84,431.0,,,,,,,,,,,,,,,
2019-08-01 12:29:00,59.84,59.84,59.84,59.84,29.0,,,,,,,,,,,,,,,
2019-08-01 12:30:00,59.84,59.84,59.8,59.8,199.0,,,,,,,,,,,,,,,
2019-08-01 12:32:00,59.82,59.86,59.82,59.86,1215.0,,,,,,,,,,,,,,,
2019-08-01 12:33:00,59.84,59.86,59.84,59.86,1199.0,,,,,,,,,,,,,,,
